"State","Representative","Party","Pro05","Anti05","Pro06","Anti06","Pro07","Anti07","PctPro"
"Minnesota","Gutknecht","R",13,5,0,11,NA,NA,44.83
"Minnesota","Walz","D",NA,NA,NA,NA,17,3,85
"Minnesota","Kline","R",0,18,1,11,0,20,2
"Minnesota","Ramstad","R",11,7,10,2,19,1,80
"Minnesota","McCollum","D",18,0,12,0,19,1,98
"Minnesota","Sabo","D",16,2,11,1,20,0,94
"Minnesota","Kennedy, M.","R",2,16,4,8,NA,NA,20
"Minnesota","Bachmann","R",NA,NA,NA,NA,0,20,0
"Minnesota","Peterson, C.","D",9,9,2,10,12,8,46
"Minnesota","Obserstar","D",15,2,8,3,15,5,79.17
"Mississippi","Wicker","R",0,18,0,12,1,19,2
"Mississippi","Thompson, B.","D",14,4,6,6,17,3,74
"Mississippi","Pickering","R",0,18,2,10,1,19,6
"Mississippi","Taylor, G.","D",10,8,5,7,16,4,62
"Missouri","Clay","D",15,2,11,1,15,5,83.67
"Missouri","Akin","R",0,18,1,11,1,19,4
"Missouri","Carnahan","D",16,2,12,0,18,2,92
"Missouri","Skelton","D",10,8,6,6,14,6,60
"Missouri","Cleaver","D",16,2,9,1,17,3,87.5
"Missouri","Graves","R",0,18,1,11,1,19,4
"Missouri","Blunt","R",1,17,0,10,0,20,2.08
"Missouri","Emerson","R",2,16,1,11,3,17,12
"Missouri","Hulshof","R",0,18,1,11,1,19,4
"Montana","Rehberg","R",2,16,0,12,2,18,8
"Nebraska","Fortenberry","R",0,18,3,9,9,11,24
"Nebraska","Terry","R",0,18,1,11,3,17,8
"Nebraska","Osborne","R",1,17,1,11,NA,NA,6.67
"Nebraska","Smith, Adrian","R",NA,NA,NA,NA,1,19,5
"Nevada","Berkley","D",18,0,12,0,15,5,90
"Nevada","Gibbons","R",0,18,0,11,NA,NA,0
"Nevada","Heller","R",NA,NA,NA,NA,3,17,15
"Nevada","Porter","R",0,18,1,11,6,14,14
"New Hampshire","Bradley","R",8,10,10,2,NA,NA,60
"New Hampshire","Shea-Porter","D",NA,NA,NA,NA,18,2,90
"New Hampshire","Bass","R",6,12,8,4,NA,NA,46.67
"New Hampshire","Hodes","D",NA,NA,NA,NA,20,0,100
"New Jersey","Andrews","D",15,0,12,0,20,0,100
"New Jersey","LoBiondo","R",14,4,10,2,18,2,84
"New Jersey","Saxton","R",13,5,10,2,15,5,76
"New Jersey","Smith, C.","R",14,4,11,1,17,3,84
"New Jersey","Garrett","R",2,16,3,9,4,16,18
"New Jersey","Pallone","D",18,0,12,0,20,0,100
"New Jersey","Ferguson","R",3,15,10,2,17,3,60
"New Jersey","Pascrell","D",16,2,12,0,20,0,96
"New Jersey","Rothman","D",17,0,12,0,18,2,95.92
"New Jersey","Payne","D",15,0,11,0,15,5,89.13
"New Jersey","Frelinghuysen","R",6,12,8,4,14,6,56
"New Jersey","Holt","D",18,0,12,0,20,0,100
"New Jersey","Menendez","D",18,0,NA,NA,NA,NA,100
"New Jersey","Sires",NA,NA,NA,NA,NA,19,1,95
"New Mexico","Wilson, H.","R",4,14,2,10,3,17,18
"New Mexico","Pearce","R",0,18,0,12,0,20,0
"New Mexico","Udall, T.","D",18,0,12,0,20,0,100
"New York","Bishop, T.","D",17,1,11,0,20,0,97.96
"New York","Israel","D",17,1,11,1,20,0,96
"New York","King, P.","R",2,16,1,10,6,14,18.37
"New York","McCarthy","D",17,1,12,0,20,0,98
"New York","Ackerman","D",17,1,11,0,17,3,91.84
"New York","Meeks, G.","D",13,5,10,2,18,2,82
"New York","Crowley","D",18,0,11,1,19,1,96
"New York","Nadler","D",17,1,12,0,19,1,96
"New York","Weiner","D",16,1,12,0,18,2,93.88
"New York","Towns","D",8,7,10,2,18,2,76.6
"New York","Owens","D",16,2,12,0,NA,NA,93.33
"New York","Clarke","D",NA,NA,NA,NA,16,4,80
"New York","Velazquez","D",13,1,11,1,17,3,89.13
"New York","Fossella","R",2,16,2,10,6,14,20
"New York","Maloney","D",18,0,11,1,20,0,98
"New York","Rangel","D",17,1,12,0,18,2,94
"New York","Serrano","D",17,1,12,0,17,3,92
"New York","Engel","D",17,1,12,0,17,3,92
"New York","Lowey","D",17,1,12,0,19,1,96
"New York","Kelly","R",3,8,11,1,NA,NA,60.87
"New York","Hall, J.","D",NA,NA,NA,NA,19,1,95
"New York","Sweeney","R",3,15,5,5,NA,NA,28.57
"New York","Gillibrand","D",NA,NA,NA,NA,19,1,95
"New York","McNulty","D",17,1,12,0,19,1,96
"New York","Hinchey","D",16,1,12,0,19,1,95.92
"New York","McHugh","R",3,1,3,9,9,11,41.67
"New York","Boehlert","R",14,4,10,2,NA,NA,80
"New York","Arcuri","D",NA,NA,NA,NA,18,2,90
"New York","Walsh","R",4,14,7,5,9,11,40
"New York","Reynolds","R",2,16,1,6,1,19,8.89
"New York","Higgins","D",17,1,11,1,19,1,94
"New York","Slaughter","D",16,2,11,0,19,1,93.88
"New York","Kuhl","R",1,17,4,8,6,14,22
"North Carolina","Butterfield","D",16,2,9,3,14,6,78
"North Carolina","Etheridge","D",16,2,9,3,17,3,84
"North Carolina","Jones, W.","R",9,8,6,6,8,12,46.94
"North Carolina","Price, D.","D",17,1,11,1,19,1,94
"North Carolina","Foxx","R",2,16,1,10,2,18,10.2
"North Carolina","Coble","R",1,16,1,10,1,19,6.25
"North Carolina","McIntyre","D",12,5,8,4,15,5,71.43
"North Carolina","Hayes","R",0,18,2,10,3,17,10
"North Carolina","Myrick","R",1,16,0,11,2,18,6.25
"North Carolina","McHenry","R",2,16,0,11,0,20,4.08
"North Carolina","Taylor, C.","R",1,16,1,11,NA,NA,6.9
"North Carolina","Shuler","D",NA,NA,NA,NA,15,5,75
"North Carolina","Watt","D",17,1,11,1,19,1,94
"North Carolina","Miller, B.","D",17,1,11,1,18,2,92
"North Dakota","Pomeroy","D",10,8,8,4,17,3,70
"Ohio","Chabot","R",2,16,1,11,4,16,14
"Ohio","Zportman","R",0,10,NA,NA,NA,NA,0
"Ohio","Schmidt","R",0,4,1,11,2,18,8.33
"Ohio","Turner","R",1,17,1,11,2,18,8
"Ohio","Oxley","R",0,17,0,12,NA,NA,0
"Ohio","Jordon","R",NA,NA,NA,NA,1,19,5
"Ohio","Gillmor","R",1,17,2,10,7,10,21.28
"Ohio","Strickland","D",14,3,9,1,NA,NA,85.19
"Ohio","Wilson, C.","D",NA,NA,NA,NA,12,NA,100
"Ohio","Hobson","R",1,16,0,12,4,16,10.2
"Ohio","Boehner","R",0,18,0,12,0,20,0
"Ohio","Kaptur","D",16,2,12,0,16,4,88
"Ohio","Kucinich","D",18,0,12,0,16,4,92
"Ohio","Tubbs Jones, S.","D",15,3,11,1,15,5,82
"Ohio","Tiberi","R",1,17,1,11,3,17,10
"Ohio","Brown, S.","D",18,0,12,0,NA,NA,100
"Ohio","Sutton","D",NA,NA,NA,NA,17,NA,100
"Ohio","LaTourette","R",2,15,4,8,8,12,28.57
"Ohio","Pryce, D.","R",1,17,3,9,5,15,18
"Ohio","Regula","R",0,18,1,11,4,16,10
"Ohio","Ryan, T.","D",16,2,11,1,16,4,86
"Ohio","Ney","R",2,16,2,10,NA,NA,13.33
"Ohio","Space","D",NA,NA,NA,NA,12,NA,100
"Oklahoma","Sullivan","R",0,18,2,9,1,19,6.12
"Oklahoma","Boren","D",5,13,0,11,3,17,16.33
"Oklahoma","Lucas","R",0,17,0,12,0,20,0
"Oklahoma","Cole","R",0,18,1,11,0,20,2
"Oklahoma","Istook","R",0,17,0,11,NA,NA,0
"Oregon","Wu","D",18,0,12,0,20,0,100
"Oregon","Walden","R",2,16,2,10,4,16,16
"Oregon","Blumenauer","D",18,0,11,1,20,0,98
"Oregon","DeFazio","D",18,0,10,2,19,1,94
"Oregon","Hooley","D",18,0,11,1,17,3,92
"Pennsylvania","Brady, R.","D",13,4,9,3,17,3,79.59
"Pennsylvania","Fattah","D",16,1,12,0,18,2,93.88
"Pennsylvania","English","R",1,16,3,9,7,13,22.45
"Pennsylvania","Hart","R",0,18,3,9,NA,NA,10
"Pennsylvania","Altmire","D",NA,NA,NA,NA,16,4,80
"Pennsylvania","Peterson, J.","R",0,18,0,12,2,18,4
"Pennsylvania","Gerlach","R",10,8,8,3,14,6,65.31
"Pennsylvania","Weldon, C.","R",5,12,8,3,NA,NA,46.43
"Pennsylvania","Sestak","D",NA,NA,NA,NA,20,0,100
"Pennsylvania","Fitzpatrick","R",11,7,11,0,NA,NA,75.86
"Pennsylvania","Murphy, P.","D",NA,NA,NA,NA,18,2,90
"Pennsylvania","Shuster","R",0,18,1,11,1,19,4
"Pennsylvania","Sherwood","R",0,18,1,10,16,4,34.69
"Pennsylvania","Kanjorski","D",12,6,8,3,14,6,69.39
"Pennsylvania","Murtha","D",10,8,7,5,15,5,64
"Pennsylvania","Schwartz, A.","D",17,1,12,0,19,1,96
"Pennsylvania","Doyle","D",11,7,9,3,16,4,72
"Pennsylvania","Dent","R",0,18,2,10,11,9,26
"Pennsylvania","Pitts","R",0,18,1,11,2,18,6
"Pennsylvania","Holden","D",10,8,6,6,14,6,60
"Pennsylvania","Murphy","R",0,18,2,10,4,16,12
"Pennsylvania","Platts","R",6,12,5,7,11,9,44
"Rhode Island","Kennedy, P.","D",18,0,4,0,18,2,95.24
"Rhode Island","Langevin","D",18,0,12,0,19,1,98
"South Carolina","Brown, H.","R",1,17,1,11,1,19,6
"South Carolina","Wilson, J.","R",0,18,0,11,0,20,0
"South Carolina","Barrett","R",1,17,1,11,1,19,6
"South Carolina","Inglis","R",5,13,5,7,5,15,30
"South Carolina","Spratt","D",16,2,11,1,17,3,88
"South Carolina","Clyburn","D",14,3,12,0,16,4,85.71
"South Dakota","Herseth","D",10,8,6,6,14,6,60
"Tennessee","Jenkins","R",1,17,2,10,NA,NA,10
"Tennessee","Davis, David","R",NA,NA,NA,NA,2,NA,100
"Tennessee","Duncan","R",0,18,1,10,2,18,6.12
"Tennessee","Wamp","R",2,16,0,12,2,18,8
"Tennessee","Davis, L.","D",6,12,5,7,15,5,52
"Tennessee","Cooper","D",12,6,12,0,16,4,80
"Tennessee","Gordon","D",11,7,9,3,16,4,72
"Tennessee","Blackburn","R",1,17,0,11,1,19,4.08
"Tennessee","Tanner","D",9,9,5,7,14,6,56
"Tennessee","Ford","D",12,5,8,2,NA,NA,74.07
"Tennessee","Cohen","D",NA,NA,NA,NA,19,NA,100
"Texas","Gohmert","R",1,17,0,11,0,20,2.04
"Texas","Poe","R",1,17,2,10,1,19,8
"Texas","Johnson, S.","R",0,17,0,11,1,19,2.08
"Texas","Hall, R.","R",0,17,0,12,0,20,0
"Texas","Hensarling","R",1,17,1,11,3,17,10
"Texas","Barton","R",0,18,1,9,0,20,2.08
"Texas","Culbertson","R",0,17,1,11,0,20,2.04
"Texas","Brady, K.","R",0,18,1,11,0,20,2
"Texas","Green, A.","D",10,8,8,4,17,3,70
"Texas","McCaul","R",0,18,2,10,2,18,8
"Texas","Conaway","R",0,17,0,12,0,20,0
"Texas","Granger","R",0,18,0,12,0,20,0
"Texas","Thornberry","R",0,18,0,12,0,20,0
"Texas","Paul","R",8,7,3,9,3,17,29.79
"Texas","Hinojusa","D",6,12,5,7,11,9,44
"Texas","Reyes","D",7,10,4,7,14,6,52.08
"Texas","Edwards","D",7,11,2,10,12,8,42
"Texas","Jackson-Lee, S.","D",11,6,9,3,18,2,77.55
"Texas","Neugebauer","R",0,18,0,12,0,20,0
"Texas","Gonzalez","D",11,7,8,3,17,3,73.47
"Texas","Smith, L.","R",0,18,2,10,0,20,4
"Texas","DeLay","R",1,17,1,8,NA,NA,7.41
"Texas","Lampson","D",NA,NA,NA,NA,10,10,50
"Texas","Bonilla","R",0,18,0,12,NA,NA,0
"Texas","Rodriguez","D",NA,NA,NA,NA,16,4,80
"Texas","Marchant","R",0,18,1,12,1,19,3.92
"Texas","Doggett","D",17,0,12,0,18,2,95.92
"Texas","Burgess","R",0,18,1,12,0,20,1.96
"Texas","Ortiz","D",6,12,4,8,7,13,34
"Texas","Cuellar","D",6,12,1,11,13,7,40
"Texas","Green, G.","D",7,10,7,4,13,7,56.25
"Texas","Johnson, E.B.","D",16,2,9,3,16,4,82
"Texas","Carter","R",0,17,0,12,0,20,0
"Texas","Sessions, P.","R",0,17,0,12,0,20,0
"Utah","Bishop, R.","R",0,18,0,11,0,20,0
"Utah","Matheson","D",10,8,7,5,11,9,56
"Utah","Cannon","R",0,18,0,8,2,18,4.35
"Vermont","Sanders","I",17,0,12,0,NA,NA,100
"Vermont","Welch","D",NA,NA,NA,NA,19,1,95
"Virginia","Davis, Jo Ann","R",2,14,5,7,0,20,14.58
"Virginia","Drake","R",1,17,2,10,2,18,10
"Virginia","Scott, B.","D",15,3,12,0,18,2,90
"Virginia","Forbes","R",1,17,1,11,1,19,6
"Virginia","Goode","R",5,13,0,12,0,20,10
"Virginia","Goodlatte","R",0,18,0,12,0,20,0
"Virginia","Cantor","R",1,17,1,11,1,19,6
"Virginia","Moran, James","D",16,2,11,1,19,1,92
"Virginia"," Boucher","D",10,8,8,1,15,5,70.21
"Virginia","Wolf","R",5,13,3,9,12,8,40
"Virginia","Davis, T.","R",6,12,6,6,8,12,40
"Washington","Insleee","D",18,0,12,0,19,1,98
"Washington","Larsen, R.","D",16,2,10,2,16,4,84
"Washington","Baird","D",17,1,10,2,19,1,92
"Washington","Hastings, D.","R",0,18,0,12,1,19,2
"Washington","McMorris","R",0,18,0,11,1,19,2.04
"Washington","Dicks","D",15,3,9,1,19,1,89.58
"Washington","McDermott","D",17,1,12,0,19,1,96
"Washington","Reichtert","R",5,13,8,4,17,3,60
"Washington","Smith, A.","D",18,0,12,0,18,2,96
"West Virginia","Mollohan","D",10,8,7,4,11,9,57.14
"West Virginia","Capito","R",2,16,3,9,4,16,18
"West Virginia","Rahall","D",15,3,11,1,15,5,82
"Wisconsin","Ryan, P.","R",2,16,2,10,5,15,18
"Wisconsin","Baldwin","D",18,0,12,0,20,0,100
"Wisconsin","Kind","D",18,0,11,1,19,1,96
"Wisconsin","Moore, G.","D",18,0,12,0,19,1,98
"Wisconsin","Sensenbrenner","R",3,15,3,9,4,16,20
"Wisconsin","Petri","R",3,15,8,4,10,10,42
"Wisconsin","Obey","D",18,0,12,0,18,2,96
"Wisconsin","Green, M.","R",4,14,4,8,NA,NA,26.67
"Wisconsin","Kagen","D",NA,NA,NA,NA,18,2,90
"Wyoming","Cubin","R",1,15,0,11,0,20,2.13
